,title,sort,date,genre,genre.2,Genre.3,pilot,X1x01,int.ext.ratio,int.ext.weighted,int.percent
19,Alien_Nation_2x02_-_On_Separate_Ways_(unfilmed),  25,1990,sci-fi,drama,,n,n,2.9,5.1935662009,0.7435897436
20,Alien_Nation_2x03_-_The_Change_(unfilmed),  26,1990,sci-fi,drama,,n,n,1.6666666667,6.4642857143,0.625
21,Alien_Nation_2x04_-_One_Nation_-_Invisible_(unfilmed),  27,2013,sci-fi,drama,,n,n,2.3,3.1554921541,0.696969697
22,Almost_Human_1x01_-_Pilot,  28,2013,action,crime,drama,y,y,2.1923076923,5.352293578,0.686746988
23,Alpha_House_1x01_-_Pilot,  29,2011,comedy,drama,,y,y,10.6666666667,20.0303030303,0.9142857143
24,Alphas_1x01_-_Pilot,  30,2011,action,drama,sci-fi,y,y,1.6666666667,1.6797839722,0.625
25,American_Horror_Story_1x01_-_Pilot,  31,2012,drama,horror,,y,y,5.25,4.1803278689,0.84
26,Animal_Kingdom_1x01_-_Pilot,  32,2009,crime,,,y,y,13,9.2269671807,0.9285714286
27,Apartment_23_1x01_-_Pilot,  33,2011,comedy,,,y,y,5.1666666667,11.6685499058,0.8378378378
28,Archer_1x01_-_Mole_Hunt,  34,2012,action,comedy,,n,y,2.4,4.9382022472,0.7058823529
29,Archer_3x02_-_Heart_of_Archness_pt2,  35,2012,action,comedy,,n,n,1.9375,2.2439446367,0.6595744681
30,"Are_You_There,_Chelsea_1x01_-_Pilot",  36,2008,comedy,,,y,y,19,6.961682243,0.95
31,Arrow_1x01_-_Pilot,  37,2012,action,crime,,y,y,2.5,3.1153846154,0.7142857143
32,Ashes_to_Ashes_1x01,  38,2011,crime,fantasy,drama,n,y,1.2258064516,1.3896103896,0.5507246377
33,Awake_1x01_-_Pilot,  39,2013,drama,,,y,y,3.55,2.6622583927,0.7802197802
34,Awkward_1x01_-_Pilot,  40,2013,comedy,drama,,y,y,3,1.8761645963,0.75
35,Back_in_the_Game_1x01_-_Pilot,  41,2014,comedy,,,y,y,0.45,0.5988243938,0.3103448276
36,Back_In_The_Game_1x01_-_Pilot(1),  42,2014,comedy,,,y,y,0.45,0.5922965116,0.3103448276
37,Bad_Judge_1x01_-_Pilot,  43,2013,comedy,,,y,y,4,12.976744186,0.8
38,Bad_Teacher_1x01_-_Pilot,  44,2013,comedy,,,y,y,2.3636363636,3.6194144838,0.7027027027
39,Banshee_1x01_-_Pilot,  45,1999,action,crime,drama,y,y,1.0277777778,1.1102990033,0.5068493151
40,Bates_Motel_1x01_Pilot,  46,2004,horror,,,y,y,1.8888888889,2.1696078431,0.6538461538
41,Batman_-_Midnight,  47,2006,action,,,n,n,1.75,1.8386752137,0.6363636364
42,Batman_-_Mind_Games,  48,2006,action,,,n,n,1.3333333333,2.6776859504,0.5714285714
43,Battlestar_Galactica_0x01,  52,2008,action,drama,,n,y,2.1754385965,3.6149012567,0.6850828729
44,Battlestar_Galactica_0x02,  53,2012,action,drama,,n,n,2.2222222222,11.2052505967,0.6896551724
45,Battlestar_Galactica_1x01_-_33,  54,1987,action,drama,,n,y,2.8214285714,8.6151603499,0.738317757
46,Battlestar_Galactica_3x01_-_Occupation,  57,1987,action,drama,,n,n,1.625,3.6863961088,0.619047619
47,Battlestar_Galactica_3x02_-_Precipice,  58,1987,action,drama,,n,n,1.4347826087,2.6440638028,0.5892857143
48,Battlestar_Galactica_4x04_-_Six_of_One,  59,1987,action,drama,,n,n,15,22.353990915,0.9375
49,Battlestar_Galactica_Blood_and_Chrome,  60,1987,action,drama,,n,n,1.0377358491,2.1009885364,0.5092592593
50,Beauty_and_the_Beast_1x01_-_Once_Upon_a_Time_in_the_City_of_New_York,  62,1987,drama,horror,,n,y,4.6666666667,9.5162337662,0.8235294118
51,Beauty_and_the_Beast_1x01_-_Pilot,  63,1987,drama,horror,,y,y,5.7,7.4933244916,0.8507462687
52,Beauty_and_the_Beast_1x02_-_Terrible_Savior,  64,1987,drama,horror,,n,n,2.8333333333,5.3979885057,0.7391304348
53,Beauty_and_the_Beast_1x04_-_No_Way_Down,  65,1987,drama,horror,,n,n,0.5769230769,0.8952838576,0.3658536585
54,Beauty_and_the_Beast_1x06_-_The_Beast_Within,  66,1987,drama,horror,,n,n,1.4347826087,2.4184239734,0.5892857143
55,Beauty_and_the_Beast_1x07_-_Nor_Iron_Bars_a_Cage,  67,1987,drama,horror,,n,n,2.4545454545,4.0662983425,0.7105263158
56,Beauty_and_the_Beast_1x08_-_Song_of_Orpheus,  68,1987,drama,horror,,n,n,2.9285714286,7.9269398115,0.7454545455
57,Beauty_and_the_Beast_1x09_-_Dark_Spirit,  69,1988,drama,horror,,n,n,3.6428571429,4.3475177305,0.7846153846
58,Beauty_and_the_Beast_1x10_-_A_Childrens'_Story,  70,1988,drama,horror,,n,n,2.5555555556,6.2324455206,0.71875
59,Beauty_and_the_Beast_1x11_-_An_Impossible_Silence,  71,1989,drama,horror,,n,n,3.5454545455,7.5075075075,0.78
60,Beauty_and_the_Beast_1x11_-_The_Rest_is_Silence,  60,1989,drama,horror,,n,n,2.8888888889,7.271400295,0.7428571429
61,Beauty_and_the_Beast_1x12_-_Shades_of_Grey,  72,1989,drama,horror,,n,n,23,72.2076923077,0.9583333333
62,Beauty_and_the_Beast_1x20_-_To_Reign_In_Hell,  74,1989,drama,horror,,n,n,29,90.4489795918,0.9666666667
63,Beauty_and_the_Beast_2x04_-_Dead_of_Winter,  75,1989,drama,horror,,n,n,15,27.20821662,0.9375
64,Beauty_and_the_Beast_2x07_-_A_Fair_and_Perfect_Knight,  64,2013,drama,horror,,n,n,2.7777777778,4.2788671024,0.7352941176
65,Beauty_and_the_Beast_2x13_-_Arabesque,  76,2014,drama,horror,,n,n,1.1,2.1289541284,0.5238095238
66,Beauty_and_the_Beast_2x14_-_When_the_Blue_Bird_Sings,  77,2012,drama,horror,,n,n,3,4.4437927664,0.75
67,Beauty_and_the_Beast_2x15_-_The_Watcher,  78,2014,drama,horror,,n,n,1.92,2.7355704698,0.6575342466
68,Beauty_and_the_Beast_2x21_-_Ceremony_of_Innocence,  68,2012,drama,horror,,n,n,32,2648,0.9696969697
69,Being_Human_1x01_-_Pilot,  79,2012,drama,horror,fantasy,y,y,1.8571428571,4.2594752187,0.65
70,Being_Mary_Jane_1x01_-_Pilot,  80,2013,drama,,,y,y,6.6,7.8480286738,0.8684210526
71,Believe_1x01_-_Pilot,  81,2013,fantasy,sci-fi,drama,y,y,2.9,6.3557894737,0.7435897436
72,Ben_&_Kate_1x01_-_Pilot,  82,2010,comedy,,,y,y,6.8,16.86,0.8717948718
73,Benched_1x01_-_Pilot,  83,2007,comedy,,,y,y,16,1887,0.9411764706
74,Bent_1x01_-_Pilot,  84,2007,comedy,,,y,y,3.4285714286,2.908284582,0.7741935484
75,Best_Friends_Forever_1x01_-_Pilot,  85,2014,comedy,,,y,y,20,42.4489795918,0.9523809524
76,Betas_1x01_-_Pilot,  86,2014,comedy,,,y,y,6.25,7.8100393701,0.8620689655
77,Betrayal_1x01_-_Pilot,  87,2014,drama,,,y,y,2.2352941176,2.2797642547,0.6909090909
78,Better_With_You_1x01_-_Pilot,  88,2010,comedy,,,y,y,16,20.7283805953,0.9411764706
79,Big Shots 1x01 - Pilot (Early Draft),  89,2011,drama,,,y,y,3,3.128342246,0.75
80,Big_Shots_1x01_-_Pilot,  90,2008,drama,,,y,y,1.6842105263,1.7709497352,0.6274509804
81,Bionic_Woman_1x01_-_Pilot,  91,2014,sci-fi,action,,y,y,1.875,4.9812398984,0.652173913
82,Black_Box_1x01_-_Kiss_the_Sky,  92,2011,drama,,,n,y,3.3333333333,4.4095063985,0.7692307692
83,Black_Sails_1x01_-_Pilot,  93,2011,action,drama,,y,y,1.7368421053,1.7502145309,0.6346153846
84,Black-ish_1x01_-_Pilot,  94,2011,comedy,,,y,y,2.75,2.3253968254,0.7333333333
85,Blue_Bloods_1x01_-_Pilot,  95,2014,crime,drama,,y,y,1.9285714286,2.3567956646,0.6585365854
86,Body_of_Proof_1x01_-_Pilot,  96,2013,crime,drama,,y,y,2,2.5371549894,0.6666666667
87,Bonekickers_1x01,  97,2013,action,drama,,n,y,1.8787878788,2.0580495356,0.6526315789
88,Bosch_1x01_-_Pilot,  98,2013,drama,,,y,y,0.5,0.5615176817,0.3333333333
89,Boss_1x01_-_Pilot,  99,2013,crime,drama,,y,y,1.5625,1.452570601,0.6097560976
90,Breaking_In_1x01_-_Pilot, 100,2013,comedy,crime,,y,y,2.5,2.0126382306,0.7142857143
91,Breakout_Kings_1x01_-_Pilot, 101,2014,crime,drama,,y,y,2.7142857143,4.0115736331,0.7307692308
92,Broad_City_1x01_-_What_a_Wonderful_World, 102,2013,comedy,,,n,y,2.625,3.5843373494,0.724137931
93,Brooklyn_Nine-Nine_1x01_-_Pilot_(Jan_4_2013), 103,2012,comedy,crime,,y,y,4.8,11.9124395604,0.8275862069
94,Brooklyn_Nine-Nine_1x01_-_Pilot_(Mar_19_2013), 104,2007,comedy,crime,,y,y,7.5,11.7406542056,0.8823529412
95,Brooklyn_Nine-Nine_1x02_-_Tagger, 105,2007,comedy,crime,,n,n,9,14.0153940887,0.9
96,Brooklyn_Nine-Nine_1x04_-_M.E._Time, 106,2009,comedy,crime,,n,n,43,25.4,0.9772727273
97,Brooklyn_Nine-Nine_1x11_-_Christmas, 107,2009,comedy,crime,,n,n,3.2727272727,2.3298969072,0.7659574468
98,Brooklyn_Nine-Nine_1x13_-_The_Bet, 108,2013,comedy,crime,,n,n,3.5454545455,4.2692307692,0.78
99,Browsers_1x01_-_Pilot, 110,2009,comedy,,,y,y,3.4,13.6359044995,0.7727272727
100,Bunheads_1x01_-_Pilot, 112,2007,comedy,drama,,y,y,2.0833333333,4.8042046606,0.6756756757
101,Californication_1x01_-_Pilot, 113,2008,comedy,drama,,y,y,1.4545454545,3.0936525751,0.5925925926
102,Californication_1x02_-_Hell-A_Woman, 114,2009,comedy,drama,,n,n,2,1.1055030573,0.6666666667
103,Californication_3x05_-_Slow_Happy_Boys, 115,2009,comedy,drama,,n,n,4.6666666667,5.8741258741,0.8235294118
104,Californication_3x08_-_The_Apartment, 116,2009,comedy,drama,,n,n,10,1605,0.9090909091
105,Camp_1x01_-_Pilot, 117,2009,comedy,drama,,y,y,0.5135135135,0.6386134184,0.3392857143
106,Caprica_pt1, 118,2009,sci-fi,action,drama,n,n,3.5384615385,5.3758884636,0.7796610169
107,Carpoolers_1x01_-_Pilot, 119,2009,comedy,,,y,y,2.1,2.4641842105,0.6774193548
108,Cashmere_Mafia_1x01_-_Pilot, 120,2009,comedy,drama,,y,y,1.6153846154,5.0606617647,0.6176470588
109,Castle_1x01_-_Chapter_One, 121,2009,crime,drama,comedy,n,y,2.75,2.2368913858,0.7333333333
110,Castle_1x02_-_Nanny_McDead, 122,2009,crime,drama,comedy,n,n,4.5714285714,5.0948766603,0.8205128205
111,Castle_1x03_-_Hedge_Fund_Homeboys, 123,2011,crime,drama,comedy,n,n,3.2727272727,2.9306071871,0.7659574468
112,Castle_1x05_-_A_Chill_Goes_Through_Her_Veins, 124,2014,crime,drama,comedy,n,n,4.125,7.2299636447,0.8048780488
113,Castle_1x06_-_Always_Buy_Retail, 125,2008,crime,drama,comedy,n,n,3.7777777778,6.3279816514,0.7906976744
114,Castle_1x07_-_Home_is_Where_the_Heart_Stops, 126,2008,crime,drama,comedy,n,n,5.375,32.6470170455,0.8431372549
115,Castle_1x08_-_Ghosts, 127,2011,crime,drama,comedy,n,n,18,18.5859872611,0.9473684211
116,Castle_1x09_-_Little_Girl_Lost, 128,2012,crime,drama,comedy,n,n,6,8.40625,0.8571428571
117,Castle_1x10_-_A_Death_in_the_Family, 129,2009,crime,drama,comedy,n,n,5.375,6.9347826087,0.8431372549
118,Chaos_1x01_-_Pilot, 130,2009,action,drama,,y,y,2.125,3.261079932,0.68
119,Charlie's_Angels_1x01_-_Pilot, 132,2009,action,crime,,y,y,0.9574468085,1.2347494055,0.4891304348
120,Chase_1x01_-_Pilot, 133,2009,action,crime,drama,y,y,2.1379310345,2.4883516444,0.6813186813
121,Chozen_1x01_-_Redemption, 135,2010,comedy,,,n,y,0.9,1.5164141414,0.4736842105
122,Chuck_2x03_-_Chuck_vs_The_Breakup, 137,2010,action,comedy,drama,n,n,7,6.4720194647,0.875
123,Chuck_2x06_-_Chuck_vs_The_Ex, 138,2009,action,comedy,drama,n,n,6.5714285714,5.676,0.8679245283
124,Combat_Hospital_1x01_-_Welcome_to_Kandahar, 139,2010,drama,,,n,y,3.0526315789,4.2575367891,0.7532467532
125,Common_Law_1x01_-_Pilot, 140,2010,comedy,crime,,y,y,1.3636363636,1.2296116438,0.5769230769
126,Community_1x01_-_Pilot, 141,2010,comedy,,,y,y,2.25,2.9722921914,0.6923076923
127,Community_1x04_-_Social_Psychology, 142,2009,comedy,,,n,n,2,2.5403726708,0.6666666667
128,Community_1x07_-_Introduction_to_Statistics, 143,2011,comedy,,,n,n,4.6666666667,6.5960474308,0.8235294118
129,Community_1x09_-_Debate_109, 144,2014,comedy,,,n,n,12,32.380952381,0.9230769231
130,Community_2x04_-_Basic_Rocket_Science, 145,2014,comedy,,,n,n,2.2,4.5518394649,0.6875
131,Community_2x09_-_Mixology_Certification, 146,2011,comedy,,,n,n,7,12.1723790323,0.875
132,Cosmopolitan_1x01_-_Pilot, 148,2011,drama,comedy,,y,y,1.0909090909,1.2342558292,0.5217391304
133,Cougar_Town_1x01_-_Pilot, 149,2011,comedy,,,y,y,1.9411764706,1.6629834254,0.66
134,Cougar_Town_1x14_-_TBD, 150,2011,comedy,,,n,n,1.1875,1.6481481481,0.5428571429
135,Cougar_Town_1x15_-_When_a_Kid_Goes_Bad, 151,2011,comedy,,,n,n,6,7.5097402597,0.8571428571
136,Cougar_Town_1x17_-_Counting_on_You, 152,2013,comedy,,,n,n,1.6,1.5412171508,0.6153846154
137,Criminal_Behavior_1x01_-_Pilot, 153,2008,crime,drama,,y,y,3.5,5.9182047667,0.7777777778
138,Criminal_Justice_2x01, 154,2013,crime,drama,,n,n,5.0869565217,4.9017603357,0.8357142857
139,Criminal_Minds_5x02_-_Haunted, 155,2013,crime,drama,,n,n,1.1428571429,2.2155834829,0.5333333333
140,Criminal_Minds_Suspect_Behavior_1x01_-_Pilot, 156,2012,crime,drama,,y,y,1.7647058824,3.1484047435,0.6382978723
141,Crisis_1x01_-_Pilot, 157,2013,action,drama,,y,y,2.4375,2.7184443047,0.7090909091
142,Cristela_1x01_-_Pilot, 158,1996,comedy,,,y,y,9,2189,0.9
143,CSI_12x01_-_73_Seconds, 159,1997,crime,drama,,n,n,7,4.6033898305,0.875
144,CSI_12x02_-_Tell-Tale_Hearts, 160,2011,crime,drama,,n,n,2.7777777778,2.5327061294,0.7352941176
145,CSI_12x03_-_Bittersweet, 161,2013,crime,drama,,n,n,2.1428571429,2.0713717329,0.6818181818
146,CSI_12x04_-_Maid_Man, 162,2014,crime,drama,,n,n,4.8,16.8242373238,0.8275862069
147,CSI_12x05_-_CSI_Down, 163,2006,crime,drama,,n,n,2.1578947368,1.6894300302,0.6833333333
148,Cult_1x01_-_Pilot, 165,2008,crime,drama,,y,y,1.75,2.6048780488,0.6363636364
149,Cupid_1x01_-_Pilot_(2008), 166,2010,comedy,,,y,y,2.28,2.8116926879,0.6951219512
150,Cupid_1x15_-_Botched_Makeover, 167,2013,comedy,,,n,n,8.6,9.5906040268,0.8958333333
151,Cupid_1x16_-_Company_Pier, 168,2006,comedy,,,n,n,9.6,16.2095808383,0.9056603774
152,Cupid_1x17_Chapter_Six, 169,2006,comedy,,,n,n,25,39.1182795699,0.9615384615
153,Da_Vinci's_Demons_1x01_-_Pilot, 170,2006,fantasy,drama,action,y,y,1.6153846154,2.4591265398,0.6176470588
154,Dads_1x01_-_Pilot, 171,2006,comedy,,,y,y,6,178.2068965517,0.8571428571
155,Dallas_1x01_-_Changing_Of_The_Guard, 172,2006,drama,,,n,y,1.1764705882,1.0538582358,0.5405405405
156,Dark_Minions_1x01_-_Pilot, 173,2006,sci-fi,comedy,,y,y,7.25,8.227027027,0.8787878788
157,Dark_Skies_1x01_-_Awakening, 174,2006,horror,sci-fi,,n,n,1.7105263158,2.6010919507,0.6310679612
158,Dark_Skies_1x17_-_To_Prey_in_Darkness, 175,2007,horror,sci-fi,,n,y,3.8181818182,15.4919786096,0.7924528302
159,Death_Valley_1x01_-_Pilot, 177,2008,horror,comedy,,y,y,2.5714285714,3.8219915552,0.72
160,Deception_1x01_-_Pilot, 178,2008,crime,drama,,y,y,3.125,3.1002729367,0.7575757576
161,Defenders_1x01_-_Pilot, 179,2007,drama,,,y,y,2.3157894737,3.4740346205,0.6984126984
162,Deliverance_Creek_1x01_-_Pilot, 181,2007,drama,,,y,y,0.8947368421,1.2004320874,0.4722222222
163,Desperate_Housewives_2x17_-_Could_I_Leave_You, 182,2013,drama,comedy,crime,n,n,7.75,5.5148148148,0.8857142857
164,Desperate_Housewives_5x09_-_Me_and_My_Town, 183,2007,drama,comedy,crime,n,n,12,11.2551346417,0.9230769231
165,Detroit_187_1x01_-_Pilot, 184,2008,action,crime,drama,y,y,1.1904761905,1.9590697674,0.5434782609
166,Devious_Maids_1x01_-_Pilot, 185,2008,comedy,drama,crime,y,y,2.7647058824,2.2900013052,0.734375
167,Dexter_1x01_-_Pilot, 186,2008,crime,drama,,y,y,1.4090909091,1.3485944832,0.5849056604
168,Dexter_1x02_-_Crocodile, 187,2008,crime,drama,,n,n,3.5833333333,3.6338797814,0.7818181818
169,Dexter_1x03_-_Popping_Cherry, 188,2008,crime,drama,,n,n,1.2380952381,1.6170022371,0.5531914894
170,Dexter_1x06_-_Return_to_Sender, 190,2008,crime,drama,,n,n,2.8461538462,3.5494405594,0.74
171,Dexter_1x10_-_Seeing_Red, 192,2009,crime,drama,,n,n,3.8461538462,6.2568743474,0.7936507937
172,Dexter_1x11_-_Truth_Be_Told, 193,2009,crime,drama,,n,n,2.6666666667,2.0479944675,0.7272727273
173,Dexter_1x12_-_Born_Free, 194,2009,crime,drama,,n,n,1.5789473684,2.0828891058,0.612244898
174,Dexter_2x02_-_Waiting_to_Exhale, 195,2009,crime,drama,,n,n,3.0909090909,2.6111809923,0.7555555556
175,Dexter_3x01_-_Our_Father, 197,2010,crime,drama,,n,n,2.2352941176,3.4485369843,0.6909090909
176,Dexter_3x12_-_Do_You_Take_Dexter_Morgan, 198,2014,crime,drama,,n,n,3.1111111111,3.5166139241,0.7567567568
177,Dirt_1x01_-_Pilot, 199,2013,drama,,,y,y,2.875,3.2863849765,0.7419354839
178,Dirty_Sexy_Money_(aka_The_Darlings)_1x01_Pilot, 200,2009,drama,,,y,y,2.25,3.3817934783,0.6923076923
179,Do_No_Harm_1x01_-_Pilot, 201,2009,drama,,,y,y,4.9166666667,5.7514112727,0.8309859155
180,Doctor_Who_3x01_-_Smith_and_Jones, 203,2012,action,drama,,n,n,3.0625,2.1960563935,0.7538461538
181,Doctor_Who_4x00_-_Voyage_of_the_Damned, 204,2013,action,drama,,n,n,4.1818181818,14.276355879,0.8070175439
182,Doctor_Who_4x01_-_Partners_in_Crime, 205,2013,action,drama,,n,n,1.6956521739,1.920537644,0.6290322581
183,Doctor_Who_4x10_-_Midnight, 206,2012,action,drama,,n,n,5,109.2207792208,0.8333333333
184,Doctor_Who_4x11-_Turn_Left, 207,2015,action,drama,,n,n,0.9333333333,1.1104075119,0.4827586207
185,Doctor_Who_4x12_-_The_Stolen_Earth, 208,2014,action,drama,,n,n,6.8461538462,5.4141820444,0.8725490196
186,Doctor_Who_4x13_-_Journey's_End, 209,2001,action,drama,,n,n,6.9285714286,4.420518602,0.8738738739
187,Doctor_Who_4x14_-_The_Next_Doctor, 210,2011,action,drama,,n,n,0.7586206897,0.9138948825,0.431372549
188,Doctor_Who_4x15_-_Planet_of_the_Dead, 211,1995,action,drama,,n,n,1.1,1.9276621436,0.5238095238
189,Doctor_Who_4x16_-_The_Waters_of_Mars, 212,2002,action,drama,,n,n,7.1428571429,8.3103698332,0.8771929825
190,Doctor_Who_4x17_-_The_End_of_Time_pt._1, 213,2003,action,drama,,n,n,2.2258064516,2.5626415684,0.69
191,Doctor_Who_4x18_-_The_End_of_Time_pt._2, 214,2011,action,drama,,n,n,4.625,4.3032810222,0.8222222222
192,Dominion_1x01_-_Pilot, 215,2009,fantasy,action,drama,y,y,4.3571428571,11.2000838871,0.8133333333
193,Dracula_1x01_-_Pilot, 216,2014,horror,drama,,y,y,2.1764705882,2.5154536391,0.6851851852
194,Drop_Dead_Diva_1x01_-_Pilot, 217,2009,comedy,drama,,y,y,7.4,10.6354425525,0.880952381
195,Dungeons_&_Dragons_3x99_-_Requiem, 218,2009,action,comedy,,y,y,0.125,0.4889892716,0.1111111111
196,Eastwick_1x01_-_Pilot, 219,1999,fantasy,drama,,y,y,3.9090909091,3.1672123534,0.7962962963
197,Elementary_1x01_-_Pilot, 220,2014,crime,drama,,y,y,4.1,3.2639821029,0.8039215686
198,Elementary_1x20_-_Dead_Man's_Switch, 221,1999,crime,drama,,n,n,6,10.347972973,0.8571428571
199,Elementary_1x22_-_Risk_Management, 222,2004,crime,drama,,n,n,3.8888888889,5.7399380805,0.7954545455
200,Eleventh_Hour_1x01_-_Man_Without_a_Shadow, 223,2013,sci-fi,drama,,n,y,1.8684210526,2.8127939793,0.6513761468
201,Eleventh_Hour_1x01_-_Pilot, 224,2013,sci-fi,drama,,y,y,1.82,3.5459249677,0.6453900709
202,"Emily_Owens,_MD_1x01_-_Pilot", 227,2008,drama,,,y,y,7,9.0103092784,0.875
203,Empire_1x01_-_Pilot, 228,2014,drama,,,y,y,2.7058823529,2.8401826484,0.7301587302
204,Enlisted_1x01_-_Pilot, 229,2010,comedy,,,y,y,0.5,0.6329690346,0.3333333333
205,Enterprise_1x01_-_Broken_Bow, 208,2008,action,drama,sci-fi,,,2.1951219512,6.7700348432,0.6870229008
206,Episodes_1x01_-_Pilot, 234,2014,comedy,,,y,y,1.75,1.5280283505,0.6363636364
207,ER_1x24_-_Motherhood, 237,2011,drama,,,n,n,0.25,0.0002534854,0.2
208,Everwood_1x08_-_Till_Death_Do_Us_Part, 239,2006,drama,,,n,n,8.75,10.9481534091,0.8974358974
209,Everwood_2x10_-_Unhappy_Holidays, 240,2011,drama,,,n,n,6.75,4.5737951807,0.8709677419
210,Exile_ep1, 241,2011,sci-fi,drama,,n,y,2.5238095238,3.0294211961,0.7162162162
211,Exit_19_1x01_-_Pilot, 242,2014,drama,,,y,y,1.8947368421,3.080872914,0.6545454545
212,Extant_1x01_-_Pilot, 243,2008,sci-fi,drama,,y,y,5.3636363636,6.9052936311,0.8428571429
213,Family_Biz_1x02_-_Damage_Control, 244,2005,comedy,,,n,n,4.6666666667,7.3714285714,0.8235294118
214,Family_Biz_1x23_-_Just_in_Time, 245,2015,comedy,,,n,n,2.1666666667,1.6695035461,0.6842105263
215,Family_Guy_1x03_-_Chitty_Chitty_Death_Bang, 247,2014,comedy,,,n,n,1.96,2.4832251721,0.6621621622
216,Fargo_1x01_-_Pilot, 248,2010,crime,drama,,y,y,3.3846153846,3.3609750381,0.7719298246
217,Farscape_1x01_-_Pilot_Draft, 249,2012,sci-fi,action,,y,y,1.6956521739,3.348401323,0.6290322581
218,Farscape_5x01_-_The_Peacekeeper_Wars_pt.1, 251,2000,sci-fi,action,,n,n,2.6666666667,3.2739056945,0.7272727273
219,Father_Brown_1x01, 252,2014,crime,drama,,n,y,0.4137931034,0.399747023,0.2926829268
220,Father_Brown_1x02, 253,2010,crime,drama,,n,n,2.0714285714,3.6005456349,0.6744186047
221,Fear_Itself_1x05_-_Skin_and_Bones, 254,2012,horror,,,n,n,5.4,5.0198511166,0.84375
222,Finding_Carter_1x01_-_Pilot, 256,2013,drama,,,y,y,4.6666666667,7.2745856354,0.8235294118
223,Five_Days_2x01, 257,2007,crime,drama,,n,n,1.6216216216,2.4472885789,0.618556701
224,Flashpoint_1x01, 258,2008,action,crime,drama,n,y,0.7111111111,1.0938621341,0.4155844156
225,Forever_1x01_-_Pilot, 259,2014,sci-fi,drama,,y,y,2.5625,4.4956999522,0.7192982456
226,Franklin_&_Bash_1x01_-_Bro-Bono, 260,2013,comedy,crime,,n,y,4.8571428571,8.236453202,0.8292682927
227,Freaks_and_Geeks_-_ Sample_Episode_2, 262,2011,comedy,drama,,n,n,2.6666666667,2.4285714286,0.7272727273
228,Free_Agents_1x01_-_Pilot, 266,2013,comedy,,,y,y,32,32.9636363636,0.9696969697
229,Friday_Night_Lights_1x10_-_It's_Different_for_Girls, 271,2014,drama,,,n,n,2,3.2949929402,0.6666666667
230,Friday_Night_Lights_5x13_-_Always, 275,2012,drama,,,n,n,1.1428571429,1.3074285714,0.5333333333
231,Friends_With_Benefits_1x01_-_Pilot, 281,2014,comedy,,,y,y,2.8571428571,5.3721682848,0.7407407407
232,Friends_with_Better_Lives_1x01_-_Pilot, 282,2014,comedy,,,y,y,9.5,12.4634146341,0.9047619048
233,Fringe_1x01_-_Pilot, 283,2013,drama,sci-fi,,y,y,2.9565217391,5.3961121914,0.7472527473
234,Funland_Episode_1, 284,2011,comedy,drama,,n,y,2.1666666667,3.4095371669,0.6842105263
235,Galavant_1x01_-_Pilot, 285,2011,comedy,,,y,y,5.6666666667,29.9333333333,0.85
