,title,sort,date,genre,genre.2,genre.3,int.ext.ratio,int.ext.weighted,int.percent,int.weight.ratio
76,Avatar,  98,2009,fantasy,adventure,action,0.9873417722,0.489427488,0.4968152866,0.4957021994
77,"Avengers,-The", 100,1998,sci-fi,adventure,action,1.5076923077,0.8374967131,0.6012269939,0.5554825138
78,"Avengers,-The-(2012)",  99,2012,sci-fi,adventure,action,1.0888888889,0.6796294753,0.5212765957,0.6241495182
79,Awakenings, 102,1990,drama,drama,,4.96,3.149128374,0.8322147651,0.6349049141
80,Babel, 103,2006,drama,,,0.65,0.3689561179,0.3939393939,0.5676247967
81,"Back-up-Plan,-The", 106,2010,comedy,drama,,2.8823529412,1.4026345011,0.7424242424,0.4866282963
82,Backdraft, 107,1991,action,crime,drama,1.2619047619,0.7783586364,0.5578947368,0.6168125043
83,Bad-Boys, 108,1995,action,comedy,crime,1.580952381,1.0120041063,0.6125461255,0.6401230793
84,Bad-Country, 109,2014,action,crime,drama,1.8918918919,1.1793150985,0.6542056075,0.6233522664
85,Bad-Dreams, 111,1988,horror,action,,4.7826086957,2.6130898066,0.8270676692,0.5463733232
86,Bad-Santa, 113,2003,comedy,crime,drama,3.0666666667,1.8144104157,0.7540983607,0.5916555704
87,Bad-Teacher, 114,2011,comedy,,,3.0625,1.6131060534,0.7538461538,0.5267285072
88,Bamboozled, 116,2000,comedy,drama,music,4.2105263158,2.5521485712,0.8080808081,0.6061352857
89,Basic, 120,2003,action,crime,drama,1.8936170213,1.0193264672,0.6544117647,0.5382959996
90,Basic-Instinct, 119,1992,fantasy,drama,action,3.0294117647,1.6154740612,0.7518248175,0.5332632823
91,Basquiat, 121,1996,drama,drama,,1.3421052632,0.9936358462,0.5730337079,0.7403561207
92,Batman, 123,1989,action,adventure,,1.6,0.9041907811,0.6153846154,0.5651192382
93,Batman-2, 122,1992,action,,,1.9879518072,1.1099994449,0.6653225806,0.5583633571
94,Battle-Los-Angeles, 124,2011,sci-fi,action,,0.9473684211,0.5059221342,0.4864864865,0.5340289194
95,"Battle-of-Shaker-Heights,-The", 126,2003,drama,drama,comedy,2.0625,1.0660681092,0.6734693878,0.5168815075
96,Bean, 127,1997,comedy,family,,3.2619047619,1.848600326,0.7653631285,0.5667241875
97,Beasts-of-the-Southern-Wild, 128,2012,fantasy,drama,,0.5694444444,0.3473312339,0.3628318584,0.6099475328
98,Beavis-and-Butt-head-Do-America, 129,1996,comedy,adventure,comedy,1.2,0.6853402015,0.5454545455,0.5711168346
99,Beginners, 130,2010,comedy,drama,drama,3.6486486486,1.7970557654,0.7848837209,0.492526395
100,Being-Human, 131,1994,comedy,drama,,0.4642857143,0.237557025,0.3170731707,0.5116612845
101,Being-John-Malkovich, 132,1999,fantasy,drama,comedy,6.3913043478,4.3478359035,0.8647058824,0.6802736448
102,"Believer,-The", 134,2001,drama,,,1.36,0.9609866937,0.5762711864,0.706607863
103,Beloved, 135,1998,drama,history,horror,1.0101010101,0.5580066232,0.5025125628,0.552426557
104,"Best-Exotic-Marigold-Hotel,-The", 137,2011,comedy,drama,,0.6666666667,0.3582351751,0.4,0.5373527627
105,"Big-Blue,-The", 138,1988,action,adventure,drama,0.7840909091,0.3689226251,0.4394904459,0.4705100147
106,Big-Fish, 139,2003,fantasy,drama,fantasy,1.0777777778,0.6009547665,0.5187165775,0.5575868967
107,"Big-White,-The", 141,2005,comedy,crime,drama,1.5573770492,0.9187023583,0.608974359,0.5899036195
108,Birthday-Girl, 144,2001,comedy,crime,action,2,1.0208288598,0.6666666667,0.5104144299
109,"Black-Dahlia,-The", 145,2006,fantasy,drama,crime,1.8666666667,1.1551600323,0.6511627907,0.6188357316
110,Black-Rain, 146,1989,action,crime,action,1.0566037736,0.6542205933,0.5137614679,0.6191730615
111,Black-Snake-Moan, 147,2006,drama,music,,1.4107142857,0.9194679984,0.5851851852,0.6517747837
112,Black-Swan, 148,2010,drama,action,,15,7.6445041061,0.9375,0.5096336071
113,Blade, 151,1998,action,horror,,3.1923076923,1.9695137731,0.7614678899,0.6169561217
114,Blade-Trinity, 150,2004,fantasy,adventure,crime,1.8709677419,1.3160018522,0.6516853933,0.7033803003
115,"Blind-Side,-The", 152,2009,drama,drama,sport,1.9393939394,0.9624789445,0.6597938144,0.4962782057
116,"Bling-Ring,-The", 153,2013,drama,crime,biography,1.568627451,0.993061851,0.6106870229,0.63307693
117,Blood-and-Wine, 154,1996,crime,drama,action,1.5925925926,1.0156317048,0.6142857143,0.6377222332
118,Blow, 156,2001,drama,crime,drama,1.2567567568,0.7836039559,0.5568862275,0.6235128252
119,Blue-Valentine, 157,2010,drama,drama,,2.8,1.5646169709,0.7368421053,0.5587917753
120,"Bodies,-Rest-&-Motion", 159,1993,drama,,,1.96,1.2422219083,0.6621621622,0.6337866879
121,Body-of-Evidence, 161,1993,drama,drama,action,3.6111111111,2.3710609488,0.7831325301,0.6566014935
122,Bodyguard, 162,1992,action,drama,music,2.0135135135,1.0796647287,0.668161435,0.5362093283
123,Bonfire-of-the-Vanities, 163,1990,comedy,drama,,1.9736842105,1.300864114,0.6637168142,0.6591044844
124,Boogie-Nights, 165,1997,drama,,,2.7857142857,1.4402175864,0.7358490566,0.5170011849
125,"Book-of-Eli,-The", 166,2010,action,adventure,drama,0.8148148148,0.46578864,0.4489795918,0.5716496945
126,Boondock-Saints-2-All-Saints-Day, 167,2009,action,comedy,crime,2.2909090909,1.3208179907,0.6961325967,0.5765475356
127,"Boondock-Saints,-The", 168,1999,action,crime,action,3.3333333333,1.9694596711,0.7692307692,0.5908379013
128,Bound, 169,1996,crime,drama,drama,12.2307692308,7.945025476,0.9244186047,0.6495932779
129,"Bourne-Identity,-The", 171,2002,action,fantasy,action,1.8888888889,1.2100472625,0.6538461538,0.6406132566
130,"Bourne-Supremacy,-The", 172,2004,action,action,,1.4140625,0.943343533,0.5857605178,0.6671158686
131,"Bourne-Ultimatum,-The", 173,2007,action,action,,1.756097561,1.0188022311,0.6371681416,0.5801512705
132,"Box,-The", 174,2009,sci-fi,fantasy,action,2.593220339,1.3652349772,0.7216981132,0.5264631611
133,Braveheart, 175,1995,drama,drama,history,0.5540540541,0.2432884835,0.3565217391,0.4391060433
