"title","X","sort","date","genre","genre.2","Genre.3","pilot","X1x01","int.ext.ratio","int.ext.weighted","int.percent","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"26","Animal_Kingdom_1x01_-_Pilot","  26","  32","2009","crime","","","y","y","13.0000000","9.226967e+00","0.9285714",1,0.88,0.89,1,0.8,0,1,0,0,0,0.25,0,0,1,1,1,0.75,1
"27","Apartment_23_1x01_-_Pilot","  27","  33","2011","comedy","","","y","y"," 5.1666667","1.166855e+01","0.8378378",1,0.9,0.9,0.6,0.78,1,1,0.75,0.89,0.75,1,1,0,0.25,0.11,0.25,0,0
"28","Archer_1x01_-_Mole_Hunt","  28","  34","2012","action","comedy","","n","y"," 2.4000000","4.938202e+00","0.7058824",1,0.78,0.78,0.44,0.86,1,0,0.43,0.17,0.67,0.43,1,0,0.57,0.83,0.33,0.57,1
"29","Archer_3x02_-_Heart_of_Archness_pt2","  29","  35","2012","action","comedy","","n","n"," 1.9375000","2.243945e+00","0.6595745",0,0.67,0.58,0.67,0.73,0,1,0.5,0.33,0,0.25,0,1,0.5,0.67,1,0.75,0
"30","Are_You_There,_Chelsea_1x01_-_Pilot","  30","  36","2008","comedy","","","y","y","19.0000000","6.961682e+00","0.9500000",1,0.71,1,1,0.8,1,0,0.4,0.33,0.75,0,0,1,0.6,0.67,0.25,1,1
"31","Arrow_1x01_-_Pilot","  31","  37","2012","action","crime","","y","y"," 2.5000000","3.115385e+00","0.7142857",0,0.7,0.65,0.91,0.57,0,0,0.74,0.71,0.5,0.6,0,1,0.26,0.29,0.5,0.4,0
"32","Ashes_to_Ashes_1x01","  32","  38","2011","crime","fantasy","drama","n","y"," 1.2258065","1.389610e+00","0.5507246",0,0.5,0.89,0.44,0.33,1,0,0.1,0.14,0.29,0.57,0,0,0.9,0.86,0.71,0.43,1
"33","Awake_1x01_-_Pilot","  33","  39","2013","drama","","","y","y"," 3.5500000","2.662258e+00","0.7802198",0,0.87,0.78,0.83,0.64,1,1,0.39,0.1,0.64,0.47,1,0,0.61,0.9,0.36,0.53,0
"34","Awkward_1x01_-_Pilot","  34","  40","2013","comedy","drama","","y","y"," 3.0000000","1.876165e+00","0.7500000",1,1,0.71,0.33,1,0,0,0.75,0.17,0,1,0,0,0.25,0.83,1,0,0
"35","Back_in_the_Game_1x01_-_Pilot","  35","  41","2014","comedy","","","y","y"," 0.4500000","5.988244e-01","0.3103448",0,0.5,0.5,0.12,0,0,0,0.67,0.5,1,0,0,0,0.33,0.5,0,1,0
"36","Back_In_The_Game_1x01_-_Pilot(1)","  36","  42","2014","comedy","","","y","y"," 0.4500000","5.922965e-01","0.3103448",0,0.5,0.5,0.12,0,0,0,0.67,0.5,1,0,0,0,0.33,0.5,0,1,0
"37","Bad_Judge_1x01_-_Pilot","  37","  43","2013","comedy","","","y","y"," 4.0000000","1.297674e+01","0.8000000",1,1,0.8,1,0.6,0,1,0.4,0.6,0.25,0.75,1,1,0.6,0.4,0.75,0.25,0
"38","Bad_Teacher_1x01_-_Pilot","  38","  44","2013","comedy","","","y","y"," 2.3636364","3.619414e+00","0.7027027",0,0.64,0.8,0.7,0.57,0,0,0.56,0.14,0.29,0,0,1,0.44,0.86,0.71,1,1
"39","Banshee_1x01_-_Pilot","  39","  45","1999","action","crime","drama","y","y"," 1.0277778","1.110299e+00","0.5068493",0,0.53,0.53,0.58,0.38,0,0,0.88,0.9,0.58,0.39,1,1,0.12,0.1,0.42,0.61,0
"40","Bates_Motel_1x01_Pilot","  40","  46","2004","horror","","","y","y"," 1.8888889","2.169608e+00","0.6538462",1,0.69,0.77,0.69,0.46,1,1,1,0.9,1,0.62,0,0,0,0.1,0,0.38,0
"41","Batman_-_Midnight","  41","  47","2006","action","","","n","n"," 1.7500000","1.838675e+00","0.6363636",0,0.67,0.56,0.56,0.83,1,1,0.5,0,0.5,0.33,0,1,0.5,1,0.5,0.67,0
"42","Batman_-_Mind_Games","  42","  48","2006","action","","","n","n"," 1.3333333","2.677686e+00","0.5714286",0,0.43,0.71,0.43,0.71,1,0,0.8,0.67,NA,0,0,0,0.2,0.33,NA,1,1
"43","Battlestar_Galactica_0x01","  43","  52","2008","action","drama","","n","y"," 2.1754386","3.614901e+00","0.6850829",0,0.76,0.78,0.57,0.63,1,0,0.07,0.23,0.11,0.22,0,1,0.93,0.77,0.89,0.78,0
"44","Battlestar_Galactica_0x02","  44","  53","2012","action","drama","","n","n"," 2.2222222","1.120525e+01","0.6896552",1,0.49,0.7,0.84,0.74,0,0,0.2,0.21,0.13,0.17,0,1,0.8,0.79,0.87,0.83,1
"45","Battlestar_Galactica_1x01_-_33","  45","  54","1987","action","drama","","n","y"," 2.8214286","8.615160e+00","0.7383178",1,0.7,0.81,0.74,0.69,1,1,0.55,0.31,0.25,0.4,0,0,0.45,0.69,0.75,0.6,0
"46","Battlestar_Galactica_3x01_-_Occupation","  46","  57","1987","action","drama","","n","n"," 1.6250000","3.686396e+00","0.6190476",1,0.71,0.52,0.62,0.6,0,0,0.25,0.5,0.64,0.08,0,1,0.75,0.5,0.36,0.92,0
"47","Battlestar_Galactica_3x02_-_Precipice","  47","  58","1987","action","drama","","n","n"," 1.4347826","2.644064e+00","0.5892857",1,0.53,0.67,0.76,0.4,0,0,0.36,0.38,0.5,0,0,0,0.64,0.62,0.5,1,0
"48","Battlestar_Galactica_4x04_-_Six_of_One","  48","  59","1987","action","drama","","n","n","15.0000000","2.235399e+01","0.9375000",1,1,0.92,0.85,1,1,0,0.62,0.38,0,0,0,0,0.38,0.62,1,1,0
"49","Battlestar_Galactica_Blood_and_Chrome","  49","  60","1987","action","drama","","n","n"," 1.0377358","2.100989e+00","0.5092593",0,0.52,0.61,0.32,0.69,1,0,0,0.17,0.5,0.27,0,0,1,0.83,0.5,0.73,1
"50","Beauty_and_the_Beast_1x01_-_Once_Upon_a_Time_in_the_City_of_New_York","  50","  62","1987","drama","horror","","n","y"," 4.6666667","9.516234e+00","0.8235294",0,0.82,0.82,0.76,0.88,1,0,0.55,0.25,0.67,0.6,1,0,0.45,0.75,0.33,0.4,0
"51","Beauty_and_the_Beast_1x01_-_Pilot","  51","  63","1987","drama","horror","","y","y"," 5.7000000","7.493324e+00","0.8507463",1,0.67,1,0.88,0.82,1,0,0.39,0.43,0.39,0.26,1,1,0.61,0.57,0.61,0.74,0
"52","Beauty_and_the_Beast_1x02_-_Terrible_Savior","  52","  64","1987","drama","horror","","n","n"," 2.8333333","5.397989e+00","0.7391304",1,0.53,0.81,0.8,1,1,0,0.18,0.33,0.29,0.5,0,0,0.82,0.67,0.71,0.5,0
"53","Beauty_and_the_Beast_1x04_-_No_Way_Down","  53","  65","1987","drama","horror","","n","n"," 0.5769231","8.952839e-01","0.3658537",0,0.43,0.5,0.4,0.31,1,0,0,0.64,0.83,0,0,0,1,0.36,0.17,1,0
