"title","X","sort","date","genre","genre.2","genre.3","int.ext.ratio","int.ext.weighted","int.percent","int.weight.ratio","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"224","Die-Hard-2","224"," 288","1990","action","action",""," 3.72000000"," 1.87711283","0.78813559","0.5046002",0,0.77,0.9,0.87,0.61,0,0,0.11,0,0,0,0,1,0.89,1,1,1,0
"225","Distinguished-Gentleman,-The","225"," 291","1992","comedy","crime",""," 2.78378378"," 1.69815818","0.73571429","0.6100180",1,0.57,0.84,0.64,0.86,1,0,0.44,0.31,0.4,0.15,0,0,0.56,0.69,0.6,0.85,1
"226","Disturbia","226"," 292","2007","fantasy","drama","action"," 3.61538462"," 1.88731118","0.78333333","0.5220222",0,0.84,0.72,0.77,0.7,1,0,0.77,0.52,0.64,0.71,0,1,0.23,0.48,0.36,0.29,1
"227","Donnie-Brasco","227"," 297","1997","drama","crime","drama"," 2.64516129"," 1.27407607","0.72566372","0.4816629",0,0.69,0.72,0.76,0.73,1,0,1,NA,NA,NA,0,0,0,NA,NA,NA,0
"228","Doors,-The","228"," 298","1991","drama","drama","music"," 1.48076923"," 0.92761021","0.59689922","0.6264381",1,0.43,0.76,0.61,0.61,0,0,0.86,0.36,0.58,0.32,0,0,0.14,0.64,0.42,0.68,0
"229","Drag-Me-to-Hell","229"," 300","2009","horror","action",""," 2.04166667"," 1.27530019","0.67123288","0.6246368",1,0.63,0.7,0.68,0.69,1,1,0.36,0.64,0.82,0.6,0,0,0.64,0.36,0.18,0.4,1
"230","Drive","230"," 303","2011","crime","drama",""," 1.74193548"," 0.92702146","0.63529412","0.5321790",1,0.54,0.63,0.7,0.63,0,0,0.71,0.61,0.62,0.83,0,0,0.29,0.39,0.38,0.17,0
"231","Drive-Angry","231"," 302","2011","action","comedy","fantasy"," 0.82666667"," 0.42085170","0.45255474","0.5090948",0,0.54,0.54,0.43,0.28,0,0,0.5,NA,0.44,1,0,0,0.5,NA,0.56,0,0
"232","Drop-Dead-Gorgeous","232"," 304","1999","comedy","",""," 1.51562500"," 0.92879507","0.60248447","0.6128132",0,0.65,0.6,0.61,0.54,0,1,0.48,0.59,0.11,0.26,0,0,0.52,0.41,0.89,0.74,0
"233","Dry-White-Season,-A","233"," 305","1989","drama","history","action"," 1.60655738"," 0.85319305","0.61635220","0.5310691",0,0.55,0.62,0.65,0.63,1,0,0.22,0.58,0.53,0.67,0,1,0.78,0.42,0.47,0.33,0
"234","Dumb-and-Dumber","234"," 307","1994","comedy","",""," 1.07462687"," 0.74715875","0.51798561","0.6952727",1,0.49,0.54,0.42,0.61,0,0,0.44,0.67,0.6,0.81,1,0,0.56,0.33,0.4,0.19,0
"235","Eagle-Eye","235"," 310","2008","action","fantasy","action"," 2.70833333"," 1.47607879","0.73033708","0.5450137",0,0.67,0.76,0.79,0.7,0,0,0.43,0.55,0.12,0.2,1,0,0.57,0.45,0.88,0.8,0
"236","Eastern-Promises","236"," 311","2007","crime","action",""," 1.55000000"," 0.85825282","0.60784314","0.5537115",0,0.62,0.52,0.62,0.68,1,0,0.28,0.38,0.29,0.09,1,0,0.72,0.62,0.71,0.91,0
"237","Easy-A","237"," 312","2010","comedy","drama",""," 7.15384615"," 5.41537756","0.87735849","0.7569883",1,0.89,0.96,0.82,0.8,0,1,0.67,0.65,0.24,0.45,0,0,0.33,0.35,0.76,0.55,0
"238","Ed-TV","238"," 313","1999","comedy","drama",""," 5.11111111"," 2.74574200","0.83636364","0.5372104",1,0.93,0.84,0.75,0.82,0,0,0.31,0.64,0.6,0.33,0,1,0.69,0.36,0.4,0.67,1
"239","Ed-Wood","239"," 314","1994","drama","comedy","drama"," 1.65573770"," 1.07729130","0.62345679","0.6506413",1,0.67,0.61,0.59,0.62,0,1,0.42,0.32,0.47,0.44,0,0,0.58,0.68,0.53,0.56,1
"240","Eight-Legged-Freaks","240"," 316","2002","action","comedy","horror"," 1.38271605"," 0.85868872","0.58031088","0.6210160",0,0.61,0.46,0.63,0.62,1,0,0.47,0.6,0.42,0,0,0,0.53,0.4,0.58,1,0
"241","El-Mariachi","241"," 317","1992","action","crime","drama"," 1.14285714"," 0.80740656","0.53333333","0.7064807",0,0.67,0.5,0.57,0.4,1,0,0,0.81,0.87,1,1,1,1,0.19,0.13,0,0
"242","Election","242"," 318","1999","comedy","drama",""," 2.22580645"," 1.46131027","0.69000000","0.6565307",0,0.77,0.62,0.58,0.76,0,0,0.35,0.5,0.62,0.16,0,0,0.65,0.5,0.38,0.84,0
"243","Elizabeth-The-Golden-Age","243"," 320","2007","drama","drama","history"," 2.37209302"," 1.38545024","0.70344828","0.5840624",0,0.68,0.74,0.86,0.51,1,0,0.92,0.88,0.95,0.83,1,0,0.08,0.12,0.05,0.17,0
"244","Enough","244"," 321","2002","crime","drama","action"," 2.15000000"," 1.28191252","0.68253968","0.5962384",1,0.76,0.68,0.6,0.67,0,0,0.78,0.45,0.58,0.35,0,1,0.22,0.55,0.42,0.65,1
"245","Entrapment","245"," 322","1999","action","crime","drama"," 2.14814815"," 1.20049687","0.68235294","0.5588520",0,0.86,0.41,0.82,0.63,1,1,0.6,0.33,0.27,0.57,0,0,0.4,0.67,0.73,0.43,0
"246","Erin-Brockovich","246"," 323","2000","drama","drama",""," 2.42105263"," 1.48919898","0.70769231","0.6151039",0,0.69,0.69,0.83,0.62,1,0,0.51,0.6,0.35,0.72,0,0,0.49,0.4,0.65,0.28,1
"247","Escape-From-L.A.","247"," 324","1996","sci-fi","adventure","sci-fi"," 0.94117647"," 0.47092761","0.48484848","0.5003606",0,0.64,0.35,0.57,0.42,1,0,0,0.33,0,0,0,0,1,0.67,1,1,0
"248","Eternal-Sunshine-of-the-Spotless-Mind","248"," 326","2004","drama","drama","sci-fi"," 3.37837838"," 1.84890533","0.77160494","0.5472760",1,0.8,0.8,0.66,0.82,1,1,0.42,0.93,0.69,0.6,0,1,0.58,0.07,0.31,0.4,0
"249","Even-Cowgirls-Get-the-Blues","249"," 327","1993","comedy","drama","drama"," 0.90740741"," 0.53760914","0.47572816","0.5924672",1,0.65,0.54,0.38,0.32,1,1,0.53,0.67,0.5,0.6,0,0,0.47,0.33,0.5,0.4,0
"250","Event-Horizon","250"," 328","1997","horror","sci-fi",""," 5.56250000"," 3.98497533","0.84761905","0.7164001",1,0.78,0.95,0.85,0.82,1,0,0.3,0,0.23,0.16,0,0,0.7,1,0.77,0.84,0
"251","Evil-Dead-II-Dead-by-Dawn","251"," 329","1987","comedy","horror",""," 1.05263158"," 0.66272793","0.51282051","0.6295915",0,0.38,0.63,0.47,0.59,0,0,0.08,0.15,0.08,0,0,0,0.92,0.85,0.92,1,0
"252","eXistenZ","252"," 332","1999","horror","sci-fi","action"," 2.38461538"," 1.71252253","0.70454545","0.7181546",1,0.55,0.64,0.82,0.82,1,0,0.22,0.33,0.1,0,0,1,0.78,0.67,0.9,1,1
"253","Extract","253"," 333","2009","comedy","crime","drama"," 3.36842105"," 1.97113156","0.77108434","0.5851797",0,0.71,0.68,0.71,0.48,0,0,0.08,0.29,0.73,0.62,0,0,0.92,0.71,0.27,0.38,0
"254","Fabulous-Baker-Boys,-The","254"," 334","1989","drama","music","drama"," 2.71875000"," 1.20191545","0.73109244","0.4420838",0,0.77,0.7,0.77,0.69,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"255","Face-Off","255"," 335","1997","sci-fi","crime","action"," 1.74074074"," 1.03923905","0.63513514","0.5970097",0,0.69,0.8,0.5,0.5,1,0,0.26,0.19,0.63,0.65,0,0,0.74,0.81,0.37,0.35,0
"256","Fair-Game","256"," 336","2010","drama","drama","action"," 3.36363636"," 1.87855732","0.77083333","0.5584900",1,0.79,0.74,0.92,0.58,0,0,0.52,0.5,0.25,0.84,0,1,0.48,0.5,0.75,0.16,0
"257","Family-Man,-The","257"," 337","2000","fantasy","drama","comedy"," 2.73529412"," 2.00881705","0.73228346","0.7344062",1,0.69,0.77,0.77,0.66,1,0,0.69,0.81,0.79,0.7,0,1,0.31,0.19,0.21,0.3,1
"258","Fantastic-Four","258"," 338","2005","sci-fi","adventure","action"," 1.91228070"," 0.97750573","0.65662651","0.5111727",0,0.68,0.57,0.7,0.63,0,1,0.15,0.08,0.09,0.3,0,0,0.85,0.92,0.91,0.7,0
"259","Fantastic-Mr-Fox","259"," 339","2009","comedy","adventure","comedy"," 1.07407407"," 0.58503640","0.51785714","0.5446891",0,0.5,0.36,0.79,0.43,1,0,0.75,0.5,NA,NA,0,0,0.25,0.5,NA,NA,0
"260","Fargo","260"," 340","1996","crime","drama","action"," 1.33333333"," 1.12692828","0.57142857","0.8451962",1,0.33,0.5,0.67,1,0,0,1,1,1,0,1,0,0,0,0,1,0
"261","Fatal-Instinct","261"," 342","2014","action","",""," 3.54054054"," 2.05285247","0.77976190","0.5798133",0,0.64,0.79,0.76,0.93,0,0,0.67,0.61,0.41,0.73,1,0,0.33,0.39,0.59,0.27,0
"262","Fear-and-Loathing-in-Las-Vegas","262"," 344","1998","comedy","",""," 1.29787234"," 0.77430088","0.56481481","0.5965925",0,0.38,0.79,0.58,0.56,0,0,0.57,0.82,0.72,0.71,1,0,0.43,0.18,0.28,0.29,1
"263","Feast","263"," 345","2005","action","comedy","horror"," 1.75675676"," 1.39711231","0.63725490","0.7952793",0,0.58,0.65,0.77,0.54,1,0,0.06,0.13,0,0.39,0,0,0.94,0.87,1,0.61,1
"264","Field-of-Dreams","264"," 347","1989","fantasy","family","drama"," 1.52941176"," 0.87945304","0.60465116","0.5750270",1,0.75,0.5,0.58,0.73,1,1,0.6,0.55,0.5,0.62,1,0,0.4,0.45,0.5,0.38,0
"265","Fifth-Element,-The","265"," 348","1997","action","adventure","drama"," 4.46153846"," 3.23663531","0.81690141","0.7254527",0,0.7,0.88,0.88,0.82,1,0,NA,0,NA,NA,0,0,NA,1,NA,NA,0
"266","Fight-Club","266"," 349","1999","drama","",""," 2.56716418"," 1.59349278","0.71966527","0.6207210",1,0.77,0.77,0.59,0.76,1,0,0.32,0.71,0.68,0.46,0,0,0.68,0.29,0.32,0.54,0
"267","Fighter,-The","267"," 350","2010","drama","drama","sport"," 0.57142857"," 0.18153245","0.36363636","0.3176818",0,0.33,0.5,0.5,0,0,1,0.67,0.25,1,0.67,0,0,0.33,0.75,0,0.33,0
"268","Final-Destination","268"," 352","2000","horror","action",""," 1.59259259"," 0.80572163","0.61428571","0.5059182",1,0.81,0.62,0.56,0.5,1,1,0.56,0.75,0.93,0.65,1,0,0.44,0.25,0.07,0.35,0
"269","Final-Destination-2","269"," 351","2003","horror","action",""," 2.03030303"," 0.89203031","0.67000000","0.4393582",1,0.76,0.68,0.56,0.68,1,0,0.57,0.61,0.5,0,0,0,0.43,0.39,0.5,1,1
"270","Flight","270"," 357","2012","drama","action",""," 2.73529412"," 1.85184951","0.73228346","0.6770203",0,0.85,0.7,0.67,0.68,1,1,0.43,0.35,0.41,0.81,0,0,0.57,0.65,0.59,0.19,1
"271","Flintstones,-The","271"," 358","1994","comedy","drama","fantasy"," 1.07692308"," 0.55535467","0.51851852","0.5156865",0,0.53,0.62,0.62,0.42,0,0,0.27,0.43,0.38,0.25,0,0,0.73,0.57,0.62,0.75,1
"272","Forrest-Gump","272"," 359","1994","drama","drama",""," 0.47692308"," 0.27085690","0.32291667","0.5679258",0,0.38,0.35,0.35,0.21,0,0,0.41,0.36,0.58,0.71,0,0,0.59,0.64,0.42,0.29,0
"273","Four-Rooms","273"," 360","1995","comedy","crime",""," 4.00000000"," 3.17527273","0.80000000","0.7938182",1,0.67,1,0.67,0.78,1,1,0.5,0,1,1,0,0,0.5,1,0,0,0
"274","Fracture","274"," 361","2007","crime","drama","fantasy"," 5.04545455"," 2.90173989","0.83458647","0.5751196",1,0.69,0.84,0.81,0.84,1,1,0.62,0.5,0.3,0.78,1,0,0.38,0.5,0.7,0.22,0
"275","Freaked","275"," 364","1993","sci-fi","comedy",""," 2.38095238"," 1.29048353","0.70422535","0.5420031",1,0.5,0.67,0.89,0.72,1,0,0.27,0.86,0.58,0.55,0,0,0.73,0.14,0.42,0.45,0
"276","Freddy-vs.-Jason","276"," 365","2003","horror","action",""," 1.88888889"," 0.97938916","0.65384615","0.5185001",0,0.64,0.63,0.43,0.61,1,0,0.54,0.14,0.12,0.09,0,0,0.46,0.86,0.88,0.91,0
"277","Friday-the-13th","277"," 368","2009","horror","",""," 0.55813953"," 0.37152010","0.35820896","0.6656402",0,0.26,0.38,0.41,0.39,0,0,0,1,0,1,0,0,1,0,1,0,0
"278","Friday-the-13th-Part-VIII-Jason-Takes-Manhattan","278"," 367","1989","horror","",""," 1.16666667"," 0.61698718","0.53846154","0.5288462",0,0.51,0.67,0.37,0.63,0,0,0.84,0,0.17,0,0,0,0.16,1,0.83,1,0
"279","Fright-Night","279"," 370","2011","comedy","horror",""," 2.41935484"," 1.21620960","0.70754717","0.5027000",0,0.38,0.76,0.76,0.92,1,1,0.82,0.87,0.5,0.82,0,0,0.18,0.13,0.5,0.18,0
"280","From-Dusk-Till-Dawn","280"," 371","2014","action","crime","horror"," 1.13333333"," 0.91961425","0.53125000","0.8114243",0,0.38,0.5,0.62,0.62,1,0,0.5,0.62,0.83,0.33,0,1,0.5,0.38,0.17,0.67,1
"281","Frozen","281"," 375","2010","drama","action",""," 0.06521739"," 0.02784993","0.06122449","0.4270323",0,0.04,0.12,0,0.09,1,0,0,NA,NA,NA,0,0,1,NA,NA,NA,0
"282","Frozen-(Disney)","282"," 373","2013","comedy","adventure","comedy"," 1.02702703"," 0.46555618","0.50666667","0.4533047",0,0.74,0.53,0.32,0.44,0,0,0.6,0.2,0.8,0.4,0,0,0.4,0.8,0.2,0.6,0
"283","Frozen-River","283"," 374","2008","crime","drama",""," 1.08571429"," 0.57467605","0.52054795","0.5293069",1,0.48,0.54,0.57,0.56,1,0,0.75,0.68,0.96,0.53,0,0,0.25,0.32,0.04,0.47,0
"284","Fruitvale-Station","284"," 376","2013","drama","drama","drama"," 3.03571429"," 1.61619853","0.75221239","0.5323948",1,0.68,0.69,0.83,0.85,1,1,0.53,0.33,0,0.53,1,0,0.47,0.67,1,0.47,0
"285","Fugitive,-The","285"," 377","1993","action","adventure","crime"," 2.58241758"," 1.43347132","0.72085890","0.5550889",0,0.64,0.66,0.88,0.71,1,0,0.51,0.32,0.51,0.5,1,0,0.49,0.68,0.49,0.5,0
"286","Funny-People","286"," 378","2009","comedy","drama",""," 4.23333333"," 2.60420340","0.80891720","0.6151662",1,0.82,0.79,0.81,0.67,1,1,0.78,0.91,0.71,0.48,0,0,0.22,0.09,0.29,0.52,0
"287","G.I.-Jane","287"," 379","1997","action","drama",""," 0.78431373"," 0.46937205","0.43956044","0.5984494",1,0.48,0.39,0.5,0.39,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"288","G.I.-Joe-The-Rise-of-Cobra","288"," 380","2009","sci-fi","adventure","comedy"," 2.15686275"," 1.25219253","0.68322981","0.5805620",0,0.65,0.62,0.59,0.65,1,0,0.23,0.12,0.56,0.33,0,0,0.77,0.88,0.44,0.67,0
"289","Game-6","289"," 381","2005","comedy","drama","sport"," 3.44000000"," 2.59489377","0.77477477","0.7543296",1,0.68,0.68,0.82,0.93,1,1,0.46,0.29,0.23,0.67,0,0,0.54,0.71,0.77,0.33,0
"290","Gamer","290"," 383","2009","sci-fi","drama","action"," 2.00000000"," 1.22076089","0.66666667","0.6103804",1,0.56,0.66,0.58,0.9,1,0,0.1,0.5,0.5,0.5,0,0,0.9,0.5,0.5,0.5,0
"291","Gang-Related","291"," 385","1997","action","crime","drama"," 2.80000000"," 1.89003331","0.73684211","0.6750119",1,0.61,0.87,0.82,0.67,1,1,0.6,0.41,0.27,0.35,0,0,0.4,0.59,0.73,0.65,0
"292","Gangs-of-New-York","292"," 386","2002","crime","drama","history"," 1.20833333"," 0.57138532","0.54716981","0.4728706",1,0.6,0.55,0.52,0.55,1,0,0,0.2,0.44,NA,0,0,1,0.8,0.56,NA,0
"293","Garden-State","293"," 387","2004","comedy","drama","drama"," 2.22222222"," 1.27922463","0.68965517","0.5756511",1,0.73,0.73,0.67,0.64,1,0,0.44,0.9,0.78,0.8,1,0,0.56,0.1,0.22,0.2,0
"294","Gattaca","294"," 388","1997","sci-fi","drama","action"," 2.97368421"," 1.56933584","0.74834437","0.5277413",1,0.63,0.79,0.68,0.8,0,0,NA,1,0,NA,0,0,NA,0,1,NA,0
"295","Get-Carter","295"," 389","2000","action","crime","drama"," 1.24615385"," 0.72968536","0.55479452","0.5855500",0,0.62,0.76,0.46,0.37,0,1,0.79,1,0.55,0.5,0,0,0.21,0,0.45,0.5,0
"296","Get-Low","296"," 390","2009","fantasy","drama",""," 1.40384615"," 0.83870631","0.58400000","0.5974346",0,0.44,0.76,0.79,0.36,0,1,0.63,0.54,0.74,0.78,0,0,0.37,0.46,0.26,0.22,0
"297","Ghost","297"," 396","1990","fantasy","drama","drama"," 2.62962963"," 1.86039483","0.72448980","0.7074741",1,0.64,0.64,0.85,0.75,1,1,0.56,0.91,0.29,1,1,0,0.44,0.09,0.71,0,0
"298","Ghost-Rider","298"," 393","2007","fantasy","action","action"," 1.48437500"," 0.75078050","0.59748428","0.5057890",0,0.51,0.59,0.61,0.68,1,0,0.69,0.67,0.54,0.78,0,0,0.31,0.33,0.46,0.22,1
"299","Ghost-Ship","299"," 394","2002","horror","fantasy",""," 1.91011236"," 1.12325667","0.65637066","0.5880579",1,0.45,0.78,0.71,0.69,0,0,0.73,0.68,0.57,0.5,0,1,0.27,0.32,0.43,0.5,0
"300","Ghost-World","300"," 395","2001","comedy","drama",""," 2.17647059"," 1.55369434","0.68518519","0.7138596",0,0.52,0.7,0.81,0.66,0,0,0.33,0.67,0.78,0.54,0,1,0.67,0.33,0.22,0.46,1
"301","Ghostbusters-2","301"," 397","1989","fantasy","comedy",""," 1.40625000"," 0.94266028","0.58441558","0.6703362",0,0.54,0.69,0.59,0.51,0,0,0.3,0,NA,0,0,0,0.7,1,NA,1,0
"302","Ginger-Snaps","302"," 399","2000","fantasy","drama","horror"," 1.78048780"," 0.98037584","0.64035088","0.5506220",0,0.62,0.5,0.72,0.7,0,1,0.54,0.89,0.21,1,0,0,0.46,0.11,0.79,0,0
"303","Girl-with-the-Dragon-Tattoo,-The","303"," 400","2011","crime","drama","fantasy"," 1.64583333"," 1.12924726","0.62204724","0.6861249",0,0.69,0.54,0.56,0.65,1,0,0.38,0.61,0.77,0.71,1,0,0.62,0.39,0.23,0.29,0
"304","Gladiator","304"," 401","2000","action","drama",""," 0.69863014"," 0.44760227","0.41129032","0.6406856",0,0.37,0.29,0.56,0.42,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"305","Go","305"," 403","1999","comedy","crime","action"," 2.23636364"," 1.34552902","0.69101124","0.6016593",0,0.78,0.72,0.69,0.58,1,0,0.62,0.62,0.56,0.68,1,0,0.38,0.38,0.44,0.32,0
"306","Godfather-Part-III,-The","306"," 405","1990","crime","drama",""," 0.76744186"," 0.44957218","0.43421053","0.5858062",0,0.3,0.6,0.5,0.35,0,1,0.25,0.73,0.22,0.33,0,0,0.75,0.27,0.78,0.67,0
"307","Gods-and-Monsters","307"," 407","1998","drama","drama",""," 2.54545455"," 1.26995445","0.71794872","0.4989107",0,0.57,0.87,0.67,0.76,1,0,0.77,0.8,0.81,0.96,1,0,0.23,0.2,0.19,0.04,0
"308","Godzilla","308"," 408","2014","sci-fi","adventure","action"," 1.31404959"," 0.70195171","0.56785714","0.5341897",0,0.46,0.53,0.74,0.54,0,0,0.18,0.44,0,0.21,0,0,0.82,0.56,1,0.79,0
"309","Good-Will-Hunting","309"," 411","1997","drama","",""," 1.50000000"," 1.08887706","0.60000000","0.7259180",0,0.53,0.66,0.78,0.41,0,0,0.43,0.3,0.29,0.55,1,0,0.57,0.7,0.71,0.45,0
"310","Gothika","310"," 412","2003","horror","action",""," 3.67647059"," 2.30491716","0.78616352","0.6269375",1,0.72,0.95,0.7,0.78,0,1,0.38,0.21,0.26,0.15,0,0,0.62,0.79,0.74,0.85,0
"311","Gran-Torino","311"," 414","2008","drama","",""," 1.20833333"," 0.62294659","0.54716981","0.5155420",1,0.4,0.46,0.6,0.69,1,0,0.65,0.86,0.73,0.65,0,1,0.35,0.14,0.27,0.35,1
"312","Grand-Theft-Parsons","312"," 416","2003","comedy","comedy","drama"," 1.82692308"," 1.08172534","0.64625850","0.5921023",1,0.7,0.73,0.62,0.53,1,1,0.74,0.27,0.29,0.82,0,0,0.26,0.73,0.71,0.18,0
"313","Green-Mile,-The","313"," 419","1999","crime","drama","fantasy"," 2.62068966"," 1.56187079","0.72380952","0.5959770",0,0.67,0.79,0.78,0.62,1,0,0.75,0.64,0.53,0.8,1,0,0.25,0.36,0.47,0.2,0
"314","Gremlins-2","314"," 420","1990","comedy","horror",""," 4.86363636"," 3.33510537","0.82945736","0.6857226",0,0.74,0.88,0.91,0.77,0,0,0,0.21,0,0,0,0,1,0.79,1,1,0
"315","Grifters,-The","315"," 422","1990","crime","drama","action"," 2.10204082"," 1.45536518","0.67763158","0.6923582",0,0.5,0.82,0.71,0.68,1,0,0.61,0.38,0.59,0.73,1,0,0.39,0.62,0.41,0.27,0
"316","Grosse-Point-Blank","316"," 423","1997","comedy","crime","drama"," 2.66666667"," 1.55361733","0.72727273","0.5826065",0,0.84,0.48,0.84,0.76,1,0,0.64,0.53,0.3,0.9,0,0,0.36,0.47,0.7,0.1,1
"317","Groundhog-Day","317"," 424","1993","comedy","fantasy","drama"," 1.33898305"," 0.69608966","0.57246377","0.5198644",0,0.6,0.63,0.51,0.55,1,0,0.45,0.2,0.33,0.38,0,0,0.55,0.8,0.67,0.62,0
"318","Grudge,-The","318"," 425","2004","horror","fantasy","action"," 4.10714286"," 2.50254016","0.80419580","0.6093141",1,0.69,0.94,0.83,0.74,1,1,0.89,0.77,0.82,0.9,0,0,0.11,0.23,0.18,0.1,0
"319","Hackers","319"," 426","1995","comedy","crime","drama"," 4.04545455"," 2.41591146","0.80180180","0.5971916",0,0.82,0.75,0.79,0.85,0,0,0.08,0.2,0.29,0.18,0,0,0.92,0.8,0.71,0.82,0
"320","Hall-Pass","320"," 427","2011","comedy","drama",""," 2.05714286"," 1.29093706","0.67289720","0.6275389",0,0.78,0.59,0.67,0.65,1,0,0.62,0.67,0.73,0.75,1,0,0.38,0.33,0.27,0.25,0
"321","Hancock","321"," 428","2008","fantasy","action",""," 1.16666667"," 0.63559033","0.53846154","0.5447917",0,0.61,0.41,0.59,0.48,0,0,0.28,0.6,0.62,0.38,0,0,0.72,0.4,0.38,0.62,0
"322","Hangover,-The","322"," 429","2009","comedy","",""," 1.82758621"," 1.04546690","0.64634146","0.5720479",0,0.57,0.77,0.74,0.5,1,0,0.4,0.43,0.4,0.33,0,1,0.6,0.57,0.6,0.67,1
"323","Hanna","323"," 430","2011","action","adventure","action"," 1.48101266"," 0.80166720","0.59693878","0.5412967",0,0.52,0.75,0.5,0.6,1,0,0.18,0.31,0.29,0.73,0,0,0.82,0.69,0.71,0.27,0
"324","Hard-Rain","324"," 435","1998","action","crime","drama"," 0.72619048"," 0.36121536","0.42068966","0.4974113",0,0.51,0.32,0.3,0.56,0,0,0.05,0.14,0.18,0.58,1,0,0.95,0.86,0.82,0.42,0
"325","Hard-to-Kill","325"," 436","1990","action","drama","crime"," 1.33333333"," 0.84929322","0.57142857","0.6369699",0,0.8,0.71,0.41,0.34,1,1,0.32,0.64,0.71,0.54,1,0,0.68,0.36,0.29,0.46,0
"326","Harold-and-Kumar-Go-to-White-Castle","326"," 437","2004","comedy","comedy",""," 1.20588235"," 0.73332781","0.54666667","0.6081255",1,0.67,0.53,0.45,0.54,0,0,0.82,0.8,0.41,0.5,1,1,0.18,0.2,0.59,0.5,0
"327","Haunting,-The","327"," 438","1999","fantasy","horror","fantasy"," 4.93333333"," 2.94204705","0.83146067","0.5963609",0,0.8,0.84,0.93,0.72,1,0,0.68,1,0.85,0.92,1,0,0.32,0,0.15,0.08,0
"328","He's-Just-Not-That-Into-You","328"," 439","2009","comedy","drama","drama"," 4.85000000"," 2.98363874","0.82905983","0.6151832",0,0.87,0.81,0.97,0.67,1,0,0.56,0.89,0.72,0.89,0,0,0.44,0.11,0.28,0.11,0
"329","Heat","329"," 440","1995","action","crime","drama"," 1.62365591"," 0.85549368","0.61885246","0.5268935",0,0.61,0.57,0.59,0.7,0,0,0.5,0.36,0.46,0.55,0,0,0.5,0.64,0.54,0.45,0
"330","Heathers","330"," 441","1988","comedy","crime","drama"," 2.14814815"," 1.22695953","0.68235294","0.5711708",0,0.68,0.68,0.82,0.53,0,0,1,1,1,NA,0,0,0,0,0,NA,0
"331","Heavenly-Creatures","331"," 442","1994","drama","crime","drama"," 1.60937500"," 0.90507838","0.61676647","0.5623788",0,0.36,0.69,0.83,0.58,0,0,0.4,0.78,0.92,0.87,0,0,0.6,0.22,0.08,0.13,0
"332","Hebrew-Hammer,-The","332"," 443","2003","comedy","",""," 1.10344828"," 0.85253949","0.52459016","0.7726139",0,0.44,0.56,0.56,0.54,1,0,0.33,0.3,0.4,0,0,1,0.67,0.7,0.6,1,0
"333","Heist","333"," 444","2001","action","crime","drama"," 1.50000000"," 0.66582524","0.60000000","0.4438835",0,0.33,1,0.67,0.67,1,0,0,0,1,0,0,1,1,1,0,1,0
"334","Hellbound-Hellraiser-II","334"," 445","1988","horror","action","","11.62500000"," 8.70276820","0.92079208","0.7486252",1,0.85,0.92,1,0.91,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"335","Hellboy","335"," 447","2004","fantasy","action","sci-fi"," 1.92000000"," 1.07303523","0.65753425","0.5588725",1,0.44,0.66,0.73,0.76,1,0,0.17,0,0.24,0.6,0,0,0.83,1,0.76,0.4,0
"336","Hellboy-2-The-Golden-Army","336"," 446","2008","action","adventure","fantasy"," 1.78260870"," 0.96502960","0.64062500","0.5413581",0,0.76,0.58,0.73,0.47,0,0,0.56,0.11,0,0.25,0,0,0.44,0.89,1,0.75,0
"337","Hellraiser","337"," 451","1987","horror","",""," 5.53571429"," 3.90408674","0.84699454","0.7052544",1,0.96,0.87,0.76,0.8,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"338","Hellraiser-3-Hell-on-Earth","338"," 448","1992","horror","",""," 3.38461538"," 2.09413621","0.77192982","0.6187221",0,0.87,0.8,0.8,0.58,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"339","Hellraiser-Deader","339"," 449","2005","horror","fantasy","action"," 5.33333333"," 4.17853240","0.84210526","0.7834748",1,0.73,0.8,0.87,1,1,0,0.62,0.4,0.8,0,0,0,0.38,0.6,0.2,1,0
"340","Hellraiser-Hellseeker","340"," 450","2002","horror","fantasy","action"," 4.45000000"," 2.85809885","0.81651376","0.6422694",1,0.72,0.93,0.79,0.81,1,0,0.73,0.47,0.2,0.22,0,0,0.27,0.53,0.8,0.78,0
"341","Help,-The","341"," 452","2011","drama","",""," 3.34090909"," 2.00724742","0.76963351","0.6008088",1,0.75,0.8,0.72,0.72,1,1,0.82,0.7,0.73,0.73,1,0,0.18,0.3,0.27,0.27,0
"342","Henry-Fool","342"," 453","1997","comedy","drama",""," 2.80487805"," 1.77586809","0.73717949","0.6331356",0,0.72,0.9,0.72,0.62,1,0,0.95,0.65,0.86,0.57,0,0,0.05,0.35,0.14,0.43,1
