"title","X","sort","date","genre","genre.2","genre.3","int.ext.ratio","int.ext.weighted","int.percent","int.weight.ratio","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"26","After-School-Special"," 26","  30","2003","comedy","",""," 2.31818182"," 1.26756694","0.69863014","0.5467936",1,0.73,0.65,0.81,0.6,0,0,0.57,0.58,0.71,0.58,0,1,0.43,0.42,0.29,0.42,1
"27","After.Life"," 27","  31","2009","fantasy","drama","fantasy"," 3.23255814"," 2.14966556","0.76373626","0.6650045",1,0.67,0.77,0.86,0.62,1,1,0.42,0.89,0.87,0.97,0,0,0.57,0.11,0.13,0.03,0
"28","Ali"," 28","  36","2001","drama","drama","sport"," 2.75000000"," 1.29300540","0.73333333","0.4701838",0,0.87,0.75,0.76,0.52,1,0,0.81,0.67,0.67,0.58,1,0,0.19,0.33,0.33,0.42,1
"29","Alien-3"," 29","  37","1992","horror","sci-fi","action"," 8.00000000"," 6.53896327","0.88888889","0.8173704",1,0.75,1,1,0.78,1,0,0.29,0,0,0,0,1,0.71,1,1,1,0
"30","Alien-Nation"," 30","  38","1988","sci-fi","crime","action"," 1.09411765"," 0.68762163","0.52247191","0.6284714",0,0.6,0.66,0.38,0.45,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"31","Alien-Resurrection"," 31","  39","1997","sci-fi","horror","action","10.00000000"," 5.53072626","0.90909091","0.5530726",0,0.92,0.92,0.93,0.78,0,0,0,0,NA,NA,0,0,1,1,NA,NA,0
"32","Alien-vs.-Predator"," 32","  40","2004","sci-fi","adventure","action"," 1.04132231"," 0.54948405","0.51012146","0.5276791",0,0.4,0.6,0.58,0.46,1,0,NA,NA,0,NA,0,0,NA,NA,1,NA,0
"33","All-About-Steve"," 33","  44","2009","comedy","drama",""," 1.09782609"," 0.47703579","0.52331606","0.4345277",1,0.57,0.45,0.45,0.63,1,0,0.52,0.3,0.31,0.39,0,1,0.48,0.7,0.69,0.61,0
"34","Alone-in-the-Dark"," 34","  47","2005","horror","sci-fi",""," 2.56818182"," 1.64000018","0.71974522","0.6385841",0,0.48,0.82,0.85,0.73,0,0,0.43,0.17,0.72,0.1,0,0,0.57,0.83,0.28,0.9,0
"35","Amelia"," 35","  49","2009","drama","drama","drama"," 1.11538462"," 0.67505981","0.52727273","0.6052260",0,0.57,0.54,0.59,0.41,0,0,0.6,0.71,0.56,0.27,0,1,0.4,0.29,0.44,0.73,0
"36","American-Beauty"," 36","  50","1999","drama","drama",""," 1.98148148"," 1.22962875","0.66459627","0.6205603",1,0.67,0.66,0.71,0.62,0,1,0.83,0.76,0.91,0.79,0,0,0.17,0.24,0.09,0.21,0
"37","American-Gangster"," 37","  51","2007","drama","crime","drama"," 1.59813084"," 0.91810246","0.61510791","0.5744852",0,0.53,0.7,0.61,0.54,0,0,0.48,0.32,0.47,0.44,0,0,0.52,0.68,0.53,0.56,1
"38","American-History-X"," 38","  53","1998","crime","drama",""," 1.70588235"," 0.97882197","0.63043478","0.5737922",1,0.41,0.78,0.57,0.76,1,1,0.54,0.87,0.43,0.67,0,0,0.46,0.13,0.57,0.33,0
"39","American-Hustle"," 39","  54","2013","crime","drama",""," 3.93103448"," 2.50506743","0.79720280","0.6372540",1,0.78,0.74,0.84,0.77,1,1,0.41,0.43,0.68,0.42,0,0,0.59,0.57,0.32,0.58,1
"40","American-Outlaws"," 40","  56","2001","action","western ",""," 0.44791667"," 0.26407449","0.30935252","0.5895616",0,0.09,0.4,0.43,0.32,0,0,0.46,0.39,0.05,0,0,0,0.54,0.61,0.95,1,0
"41","American-Pie"," 41","  57","1999","comedy","drama",""," 4.09756098"," 2.14550777","0.80382775","0.5236061",1,0.83,0.87,0.85,0.66,1,1,0.78,0.89,0.64,0.77,1,0,0.22,0.11,0.36,0.23,0
"42","American-President,-The"," 42","  58","1995","comedy","drama","drama"," 3.40000000"," 2.97286164","0.77272727","0.8743711",0,0.75,0.89,0.64,0.81,0,1,0.47,0.56,0.83,0.58,0,0,0.53,0.44,0.17,0.42,0
"43","American-Psycho"," 43","  59","2000","drama","horror",""," 3.66666667"," 2.57426598","0.78571429","0.7020725",1,0.86,0.86,0.81,0.64,1,0,0.57,0.5,0.62,0.12,0,1,0.43,0.5,0.38,0.88,1
"44","American-Shaolin-King-of-Kickboxers-II"," 44","  60","1991","action","",""," 0.44230769"," 0.29809014","0.30666667","0.6739429",0,0.37,0.42,0.31,0.14,1,0,0.27,0.79,0.57,0.33,0,0,0.73,0.21,0.43,0.67,0
"45","American-Splendor"," 45","  61","2003","drama","comedy","drama"," 3.62068966"," 1.78964675","0.78358209","0.4942834",1,0.72,0.79,0.79,0.88,0,1,0.5,0.58,0.32,0.78,0,0,0.5,0.42,0.68,0.22,0
"46","American,-The"," 46","  63","2010","crime","drama","action"," 0.57692308"," 0.27428475","0.36585366","0.4754269",0,0.38,0.55,0.26,0.26,0,0,0.17,0.25,0.44,0.11,0,0,0.83,0.75,0.56,0.89,1
"47","Amityville-Asylum,-The"," 47","  64","2013","horror","",""," 8.20000000"," 6.20396040","0.89130435","0.7565805",0,0.88,0.88,0.83,0.91,1,0,0.46,0.19,0.28,0,0,0,0.54,0.81,0.72,1,1
"48","Amour"," 48","  65","2012","drama","drama","","59.00000000","57.72584187","0.98333333","0.9784041",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"49","An-Education"," 49","  66","2009","drama","",""," 2.36363636"," 1.34249990","0.70270270","0.5679807",1,0.64,0.69,0.67,0.7,1,0,0.55,0.89,0.53,0.71,1,1,0.45,0.11,0.47,0.29,0
"50","Analyze-That"," 50","  67","2002","comedy","crime",""," 1.25454545"," 0.80794175","0.55645161","0.6440115",1,0.76,0.5,0.47,0.39,0,0,0.44,0.5,0.88,0.56,1,1,0.56,0.5,0.12,0.44,0
"51","Analyze-This"," 51","  68","1999","comedy","crime",""," 1.21739130"," 0.73292885","0.54901961","0.6020487",0,0.46,0.59,0.56,0.54,1,0,0.5,0.71,0.29,0.25,0,1,0.5,0.29,0.71,0.75,1
"52","Anastasia"," 52","  69","1997","drama","adventure","drama"," 1.06060606"," 0.66901674","0.51470588","0.6307872",1,0.48,0.62,0.43,0.4,1,0,0.67,0.5,NA,1,0,0,0.33,0.5,NA,0,0
"53","Angel-Eyes"," 53","  70","2001","drama","drama",""," 1.24000000"," 0.60349885","0.55357143","0.4866926",0,0.45,0.76,0.52,0.42,1,0,0.53,0.94,0.82,0.69,0,0,0.47,0.06,0.18,0.31,0
"54","Anna-Karenina"," 54","  72","2012","drama","drama",""," 2.65277778"," 1.61356802","0.72623574","0.6082560",1,0.67,0.7,0.77,0.76,0,0,0.57,0.68,0.68,0.74,0,0,0.43,0.32,0.32,0.26,0
"55","Anniversary-Party,-The"," 55","  74","2001","comedy","drama","drama"," 2.52173913"," 1.12601507","0.71604938","0.4465232",0,0.86,0.71,0.57,0.72,0,0,0.83,0.73,0.69,0.92,1,0,0.17,0.27,0.31,0.08,0
"56","Anonymous"," 56","  75","2011","drama","history ","action"," 1.50724638"," 1.00705974","0.60115607","0.6681454",0,0.62,0.64,0.65,0.48,1,0,0.43,0.61,0.6,0.56,1,1,0.57,0.39,0.4,0.44,0
